,File_name,Duration,Duration_sec,Directory
0,ID 05.mp4,00:10:15,615.68,./data/OBE1
1,Id 08.m4a,00:04:34,274.65,./data/OBE1
2,Id 13.m4a,00:07:19,439.7,./data/OBE1
3,Id 13b.m4a,00:03:21,201.6,./data/OBE1
4,Id 14.m4a,00:02:52,172.97,./data/OBE1
5,Id 15.m4a,00:01:45,105.83,./data/OBE1
6,Id 16.m4a,00:02:37,157.31,./data/OBE1
7,Id 17.m4a,00:02:58,178.88,./data/OBE1
8,Id 18.m4a,00:03:07,187.71,./data/OBE1
9,Id 19.m4a,00:05:59,359.4,./data/OBE1
10,Id 19b.m4a,00:04:01,241.34,./data/OBE1
11,Id 22.m4a,00:04:52,292.05,./data/OBE1
12,Id 23.m4a,00:05:51,351.59,./data/OBE1
13,Id 24.m4a,00:02:00,120.66,./data/OBE1
14,Id 24b.m4a,00:04:35,275.37,./data/OBE1
15,Id 7a.mp4,00:09:38,578.39,./data/OBE1
16,Id 7b.mp4,00:04:01,241.55,./data/OBE1
17,Participant 20 interview.m4a,00:03:02,182.83,./data/OBE1
18,S208-1.m4a,00:15:26,926.27,./data/OBE2
19,S208-2.m4a,00:06:30,390.59,./data/OBE2
20,S209-1.m4a,00:08:15,495.89,./data/OBE2
21,S209-2.m4a,00:06:03,363.31,./data/OBE2
22,S209-3.m4a,00:05:50,350.89,./data/OBE2
23,S209-4.m4a,00:13:49,829.95,./data/OBE2
24,S210-1.m4a,00:02:51,171.35,./data/OBE2
25,S210-2.m4a,00:08:55,535.45,./data/OBE2
26,S210-3.m4a,00:13:10,790.81,./data/OBE2
27,S211_1.m4a,00:06:31,391.47,./data/OBE2
28,S211_2.m4a,00:04:20,260.8,./data/OBE2
29,S211_3 (partially in french).m4a,00:07:28,448.43,./data/OBE2
30,S212_1.m4a,00:03:35,215.18,./data/OBE2
31,S212_2.m4a,00:07:54,474.58,./data/OBE2
32,S213_1.m4a,00:02:12,132.95,./data/OBE2
33,S213_2.m4a,00:04:25,265.09,./data/OBE2
34,S214_1.m4a,00:01:58,118.05,./data/OBE2
35,S214_2.m4a,00:01:04,64.66,./data/OBE2
36,S217.m4a,00:11:12,672.81,./data/OBE2
37,S218-1.m4a,00:03:44,224.0,./data/OBE2
38,S218-2.m4a,00:04:03,243.99,./data/OBE2
39,S219-1.m4a,00:01:37,97.56,./data/OBE2
40,S219-2.m4a,00:03:59,239.08,./data/OBE2
41,S220-1.m4a,00:02:54,174.95,./data/OBE2
42,S220-2.m4a,00:03:34,214.04,./data/OBE2
43,S222_c.m4a,00:07:01,421.7,./data/OBE2
44,S222_m.m4a,00:08:02,482.41,./data/OBE2
45,S223.m4a,00:03:58,238.23,./data/OBE2
46,S225.m4a,00:00:11,11.97,./data/OBE2
47,S225[1].m4a,00:17:29,1049.77,./data/OBE2
48,S226.m4a,00:00:44,44.52,./data/OBE2
49,S226[1].m4a,00:00:25,25.56,./data/OBE2
50,S226[2].m4a,00:03:48,228.67,./data/OBE2
51,S227 control interview.m4a,00:02:22,142.42,./data/OBE2
52,S227 intervention.m4a,00:05:52,352.75,./data/OBE2
53,S228 control.m4a,00:04:53,293.76,./data/OBE2
54,S228 intervention.m4a,00:08:26,506.01,./data/OBE2
55,S229 control.m4a,00:05:11,311.02,./data/OBE2
56,S229 intervention.m4a,00:10:38,638.25,./data/OBE2
57,S230 control.m4a,00:02:51,171.75,./data/OBE2
58,S230 intervention.m4a,00:07:11,431.94,./data/OBE2
59,S301final.m4a,00:06:16,376.28,./data/Compassion
60,S302con.m4a,00:04:12,252.48,./data/Compassion
61,S302man.m4a,00:03:53,233.56,./data/Compassion
62,S303con.m4a,00:08:26,506.58,./data/Compassion
63,S303man.m4a,00:04:34,274.92,./data/Compassion
64,S304.m4a,00:07:05,425.92,./data/Compassion
65,S305con.m4a,00:01:41,101.1,./data/Compassion
66,S306.m4a,00:08:50,530.71,./data/Compassion
67,S307.m4a,00:06:15,375.7,./data/Compassion
68,S313.m4a,00:09:36,576.62,./data/Compassion
